lead_time,no_of_special_requests,avg_price_per_room,arrival_month,arrival_date,market_segment_type,no_of_week_nights,no_of_weekend_nights,type_of_meal_plan,room_type_reserved,booking_status
127,1,96.9,7,14,3,3,0,0,0,1
74,0,109.0,9,18,3,2,0,1,0,1
166,0,110.0,11,1,3,3,0,0,0,0
105,0,75.0,4,6,3,1,0,0,0,0
263,0,100.3,9,29,4,4,2,0,0,0
56,0,126.9,5,21,4,1,2,0,0,0
157,2,101.58,7,11,4,3,1,0,0,0
112,0,100.0,6,2,3,2,0,0,0,1
62,1,111.6,10,25,4,4,0,0,3,0
8,0,87.0,8,14,3,2,0,1,0,1
25,0,72.25,7,1,3,2,2,0,0,1
1,1,74.25,1,4,4,1,1,0,1,1
45,1,94.5,10,22,4,2,0,0,0,1
18,0,80.0,12,11,3,0,1,0,0,1
110,1,104.4,10,27,4,3,0,0,3,0
305,0,89.0,11,4,3,2,1,0,0,0
6,0,65.0,9,30,2,2,0,0,0,1
16,0,61.16,1,9,4,2,2,0,0,1
161,2,114.75,7,27,4,4,0,0,0,0
52,0,126.9,5,12,4,3,0,0,0,0
10,0,82.95,11,2,4,4,1,0,0,1
315,0,52.0,12,2,3,2,0,0,0,1
326,1,188.88,12,30,4,2,0,0,5,0
110,1,149.4,9,21,4,4,1,0,3,0
4,1,93.0,1,26,4,1,0,0,0,1
105,0,90.95,6,26,4,3,2,3,0,1
71,0,120.0,6,14,3,3,0,0,0,1
64,0,80.1,4,1,4,1,0,0,0,1
59,1,87.0,1,28,3,2,0,0,0,1
19,0,150.0,11,7,4,1,1,0,0,0
39,0,109.0,8,14,3,2,0,1,0,1
35,1,97.0,12,26,4,1,0,0,3,1
256,0,76.67,9,14,3,2,1,0,0,1
269,0,70.0,12,29,3,3,2,0,0,1
73,1,100.0,9,15,2,1,0,3,0,0
25,0,139.0,7,9,4,1,2,3,0,0
66,0,96.3,3,9,4,3,0,0,3,1
129,0,131.75,7,25,4,4,1,1,0,0
61,1,120.7,11,21,4,3,1,1,0,1
99,2,79.5,2,14,4,2,2,0,1,1
0,0,90.0,1,25,4,0,1,3,0,1
12,1,90.0,8,31,4,2,1,0,0,1
90,0,80.75,5,1,3,0,2,0,0,1
4,1,68.0,2,29,2,4,1,0,0,1
3,2,150.0,10,30,4,0,2,0,0,1
133,0,108.0,10,2,4,1,2,3,0,0
6,1,149.0,9,16,4,1,0,3,0,1
112,0,120.0,10,11,3,2,0,0,0,1
11,0,122.13,10,8,4,1,2,0,0,1
69,1,140.4,6,30,4,3,2,0,3,1
60,2,96.98,12,23,4,4,0,0,0,1
33,2,75.23,2,8,4,4,1,0,3,1
7,1,135.0,10,15,4,1,0,0,0,1
160,0,90.0,4,27,3,4,2,0,0,0
33,1,84.15,11,11,4,2,2,3,0,0
189,0,72.25,8,8,3,3,1,0,0,1
1,1,137.67,6,26,4,1,2,0,0,1
386,1,115.0,10,23,3,0,2,1,0,0
130,0,102.58,3,25,4,2,1,0,1,1
304,0,89.0,11,3,4,3,0,0,0,0
95,0,76.5,4,3,4,1,2,3,0,1
1,2,221.33,10,6,4,3,0,0,5,1
265,1,115.0,6,24,3,2,0,1,0,0
263,0,110.0,10,21,3,2,0,0,0,0
27,1,126.0,10,19,4,4,1,0,0,1
65,2,137.7,7,23,4,1,1,0,3,1
14,1,121.0,6,8,4,1,0,0,0,1
232,3,80.75,10,19,4,4,0,0,0,1
50,1,51.0,1,14,3,3,0,0,0,1
0,1,161.0,5,20,4,1,0,0,0,1
78,1,169.91,12,29,3,3,1,0,0,1
34,0,115.2,3,22,4,3,0,0,0,0
220,0,85.5,9,2,4,2,0,3,0,0
36,1,104.49,5,7,4,1,0,3,0,1
5,1,71.84,2,24,4,1,0,0,0,1
0,0,180.0,9,25,4,1,0,0,3,1
7,0,158.0,12,30,4,2,0,0,0,1
220,0,128.0,9,17,3,1,2,1,0,0
3,1,107.0,11,5,4,1,0,0,0,1
69,2,135.15,5,9,4,4,1,0,0,1
209,1,152.1,11,6,4,2,2,0,0,0
130,0,159.3,6,9,4,2,0,0,3,0
222,1,96.3,8,31,4,3,0,0,0,0
59,1,116.1,5,21,4,3,2,3,0,0
50,1,108.0,10,19,4,1,0,3,0,0
77,0,125.1,6,16,4,3,0,3,0,0
80,0,108.0,10,9,3,2,0,1,3,1
91,2,136.35,6,15,4,4,0,0,0,1
109,0,114.3,7,3,4,1,2,0,0,0
0,0,120.0,10,18,2,5,1,0,0,1
106,1,90.95,4,17,4,2,2,0,3,1
0,0,65.0,2,2,2,2,0,0,0,1
79,1,112.5,8,13,4,1,2,0,0,1
32,0,73.0,11,20,3,2,0,0,0,1
201,0,86.5,7,21,4,1,0,0,1,0
8,0,91.45,1,2,4,1,2,0,0,1
29,0,95.0,5,20,2,1,0,0,0,1
31,1,148.69,9,26,4,3,1,0,5,1
67,0,32.71,11,1,3,1,2,0,0,1
32,1,136.52,8,14,4,0,1,0,3,1
40,2,150.12,10,21,4,4,1,3,5,1
165,2,123.3,10,27,4,3,1,0,3,0
290,1,89.5,6,17,3,2,1,0,0,1
7,1,154.0,7,11,4,0,1,0,0,1
44,0,77.76,11,3,4,2,0,0,0,1
57,0,130.05,4,5,4,4,0,0,3,0
147,1,118.15,5,27,4,2,2,0,3,1
137,2,117.3,12,24,4,3,2,1,0,1
8,0,127.0,2,4,4,3,0,0,0,0
0,1,150.0,8,17,4,1,0,0,0,1
88,0,87.3,7,5,3,4,0,0,3,1
175,1,99.45,7,10,4,6,4,0,3,1
20,1,128.2,3,19,4,3,2,0,0,1
38,0,55.59,1,15,4,2,1,0,0,1
79,0,76.5,9,4,3,1,2,0,0,1
132,0,151.2,10,16,4,2,2,0,3,0
123,0,91.7,8,1,3,5,2,0,3,1
148,0,67.0,12,30,3,4,1,0,0,1
54,1,0.0,11,24,1,1,0,0,0,1
116,0,108.9,5,7,4,1,0,0,0,0
275,0,110.0,4,17,3,0,2,1,0,0
165,0,94.5,7,17,4,0,1,3,0,0
30,1,126.9,5,21,4,1,0,0,0,1
6,1,85.0,2,11,4,1,0,0,0,1
49,1,94.5,10,23,4,6,2,0,0,1
6,0,41.0,2,3,2,1,0,0,0,1
2,0,167.0,5,6,4,1,0,0,3,1
0,2,152.0,9,9,4,3,0,0,0,1
8,0,119.0,5,25,4,1,0,3,0,0
82,0,130.5,6,29,4,3,0,0,0,0
219,1,145.1,9,13,4,2,0,0,0,0
99,2,269.3,7,22,4,2,1,0,6,0
230,0,96.3,10,19,4,3,0,0,0,0
2,0,86.0,2,17,4,1,0,0,0,1
1,0,65.0,9,2,2,2,0,0,0,1
1,2,101.86,11,18,4,2,2,0,0,1
17,1,89.3,1,26,4,5,1,0,3,1
203,0,72.25,8,26,3,2,1,0,0,1
2,0,99.14,8,19,4,5,2,0,0,1
287,2,106.2,9,29,4,3,0,0,0,0
26,1,89.0,4,18,4,1,1,3,0,1
9,0,67.0,11,23,2,2,0,0,0,1
55,0,109.35,5,30,4,2,1,0,0,0
20,1,80.0,1,5,2,2,0,0,0,1
3,0,120.0,8,17,2,2,1,0,0,0
19,0,80.0,10,6,3,3,0,0,0,1
5,2,114.0,9,8,4,4,0,0,0,1
29,0,63.0,11,6,3,2,1,0,0,1
41,1,70.0,12,27,3,5,1,0,0,1
22,3,109.25,9,17,4,3,1,0,0,1
119,0,139.95,7,31,4,2,2,0,3,1
9,0,105.0,4,10,4,0,1,3,0,1
39,0,129.7,9,25,4,0,1,0,0,1
100,0,102.34,12,26,4,4,1,0,0,0
289,0,0.0,10,17,4,1,0,0,0,0
76,2,72.25,11,19,4,3,0,0,0,1
228,2,90.95,10,17,4,3,1,0,0,0
28,0,129.0,10,25,4,3,0,0,0,1
245,0,110.0,7,6,3,4,2,0,0,0
216,0,177.3,8,6,4,1,1,0,5,0
103,0,94.5,7,18,3,1,2,1,0,1
2,0,89.0,3,10,4,1,0,3,0,0
13,1,93.8,3,1,4,1,0,0,3,1
159,1,133.2,9,28,4,4,1,0,3,0
80,0,168.3,9,7,4,1,0,0,3,0
19,0,82.83,2,18,4,3,0,0,0,1
165,2,123.3,10,28,4,2,2,0,3,0
11,0,90.0,6,14,2,3,0,0,3,0
92,2,72.25,7,15,3,3,2,0,0,1
46,1,107.1,7,1,4,2,0,3,0,1
32,0,85.0,10,15,3,1,1,0,0,1
66,0,149.4,9,15,4,2,0,0,3,0
14,0,132.0,4,4,4,10,4,0,3,0
27,0,120.0,6,9,3,1,0,0,0,1
189,1,99.45,7,17,4,3,2,0,3,1
68,2,220.0,11,7,4,3,1,0,4,1
19,0,85.0,10,2,3,2,2,0,0,1
159,1,70.0,4,9,3,1,1,0,0,1
1,1,76.25,1,4,4,1,1,0,1,1
17,1,117.04,10,7,4,2,2,0,0,1
112,1,65.83,4,8,4,2,0,3,0,1
152,0,80.75,6,18,3,4,2,0,0,1
96,1,72.25,11,28,4,1,0,0,0,0
86,0,139.6,7,9,3,4,2,1,3,1
6,0,316.0,8,13,4,1,0,1,5,0
8,1,188.01,10,29,4,1,2,0,5,1
130,1,97.65,8,22,4,3,1,0,0,0
335,0,0.0,10,13,4,3,0,0,0,0
33,0,59.0,1,25,2,1,1,0,0,1
12,0,38.67,3,17,3,3,0,0,0,1
80,2,72.25,11,20,4,2,0,0,0,1
1,1,79.0,1,28,4,1,0,3,0,1
42,2,216.9,8,20,4,1,1,0,5,1
126,0,114.3,5,7,4,1,2,0,3,1
4,1,109.0,6,26,4,0,1,0,0,1
39,1,142.8,3,24,4,3,0,0,0,1
8,1,127.0,8,28,4,0,2,3,0,1
128,0,80.75,9,15,3,1,0,0,0,1
34,1,104.4,8,30,4,4,0,0,0,1
150,0,80.1,10,30,4,0,2,3,0,0
250,0,95.0,9,26,3,3,1,0,0,0
58,0,108.9,6,20,4,2,1,0,0,1
3,0,147.67,3,24,4,3,0,0,0,0
268,0,80.75,10,9,3,3,2,0,0,1
25,0,216.0,3,29,4,4,0,0,5,0
3,0,110.0,5,9,0,10,5,0,3,0
359,1,78.0,10,14,3,3,2,0,0,0
1,1,106.0,1,29,4,2,2,0,3,1
2,2,129.0,6,7,4,1,0,3,0,1
148,0,217.11,7,11,4,5,2,1,5,0
22,0,140.0,5,20,3,2,0,0,0,1
99,3,89.25,10,10,4,1,2,0,0,1
168,0,168.3,7,4,4,2,1,0,5,0
56,0,185.0,9,25,3,2,2,0,0,1
103,0,138.5,7,18,3,1,2,1,0,1
193,0,120.0,6,20,4,2,1,0,0,0
163,1,73.37,4,9,4,5,2,0,0,1
40,0,109.8,4,18,4,0,1,0,3,1
2,0,159.07,9,14,2,2,0,0,5,1
17,0,171.0,2,23,4,4,0,0,5,1
207,1,62.54,10,28,4,2,2,3,0,1
18,0,190.0,9,26,2,2,2,0,0,1
210,0,0.0,10,8,4,3,1,1,0,0
31,0,80.0,12,28,3,2,1,0,0,1
304,0,89.0,11,3,3,3,0,0,0,0
0,0,65.14,5,16,4,0,1,3,0,1
335,0,80.0,10,13,3,3,0,0,0,1
26,1,151.0,7,15,4,2,1,0,0,1
105,0,75.0,4,6,4,1,0,0,0,0
200,0,150.45,9,20,4,5,1,0,0,0
21,2,104.0,11,25,4,2,1,0,0,1
238,2,96.48,6,18,4,1,0,0,1,0
34,0,73.9,2,8,4,4,1,0,0,1
36,0,110.0,9,11,2,3,2,0,3,1
11,0,1.48,12,30,4,2,0,0,3,1
140,0,70.0,12,29,3,5,0,0,0,1
30,1,80.47,11,4,4,1,0,3,0,0
153,0,113.1,6,20,4,2,1,0,0,0
82,2,122.76,11,4,4,3,2,0,0,1
18,0,112.33,4,15,4,2,1,0,0,0
37,1,78.5,2,8,4,4,1,3,0,1
74,0,116.1,6,17,4,2,0,3,0,0
36,0,160.5,2,26,4,2,1,0,5,0
26,0,120.0,6,8,3,1,0,0,0,1
48,0,159.3,5,6,4,2,1,0,3,1
18,0,48.5,11,17,4,3,1,3,0,0
21,2,105.0,9,4,4,2,2,0,0,1
221,1,90.95,8,14,4,5,4,0,0,1
81,2,125.1,9,3,4,1,2,3,0,1
30,0,140.0,6,2,3,2,0,0,0,1
38,0,67.5,2,11,4,3,2,3,0,0
6,2,164.2,11,6,4,3,2,0,0,1
99,2,141.75,7,18,4,3,1,1,0,1
5,0,83.03,2,11,4,3,0,0,1,0
54,0,94.5,6,2,3,2,0,0,0,1
346,2,146.59,12,26,4,8,3,0,5,0
164,0,115.0,10,16,3,0,1,0,0,0
96,0,166.0,12,31,3,3,2,1,0,1
71,0,90.0,5,10,3,3,0,0,0,1
58,1,116.1,6,10,4,1,0,3,0,1
111,2,155.7,8,11,4,2,0,0,3,1
63,0,102.6,11,18,4,1,0,0,3,0
77,2,128.7,4,14,4,3,0,0,3,1
5,0,75.24,9,7,4,1,1,0,0,1
83,1,75.0,5,1,3,2,2,0,0,1
323,0,70.0,5,17,3,4,0,0,0,0
19,1,95.0,10,27,2,1,0,0,0,1
16,0,75.0,3,11,2,1,0,0,0,1
40,1,149.4,8,13,4,1,1,0,3,1
43,2,79.48,11,12,4,2,2,3,0,1
16,2,105.0,9,9,4,2,0,0,0,1
133,2,99.66,5,29,4,2,2,0,0,1
205,0,90.95,7,22,4,3,2,0,0,0
0,0,76.5,6,12,3,0,1,0,0,1
70,0,127.8,7,31,4,0,1,0,3,0
245,0,0.0,9,17,4,1,2,1,0,1
1,0,103.71,5,9,4,3,1,0,0,1
107,1,118.8,9,5,4,3,1,3,0,0
73,0,60.0,12,6,3,1,2,0,3,1
152,0,72.25,8,1,3,2,1,0,0,1
56,1,116.1,5,13,4,2,1,3,0,1
46,1,96.16,3,13,4,5,3,0,3,0
165,0,151.2,10,7,4,2,1,0,3,0
294,0,58.5,9,21,3,4,0,1,0,1
240,0,80.75,10,27,4,3,1,3,0,0
92,2,81.5,10,29,4,1,1,0,1,1
0,0,65.0,10,3,2,0,1,0,0,1
22,1,95.0,11,19,4,3,0,0,0,1
38,0,90.95,8,21,4,0,2,0,0,1
6,2,187.0,9,15,4,1,0,0,0,1
34,2,79.8,3,25,4,2,2,0,1,1
15,2,118.15,7,8,3,2,0,0,0,1
123,0,129.34,10,21,4,5,2,0,3,1
0,2,138.0,8,17,4,1,0,3,0,1
5,0,95.0,5,30,2,1,1,0,0,1
11,1,119.67,3,19,4,1,2,0,0,1
14,0,100.0,10,15,3,2,0,0,0,1
0,0,129.0,10,14,4,1,0,0,0,1
0,3,127.0,2,12,4,1,0,0,3,1
7,1,119.0,9,21,2,2,0,0,3,1
22,2,94.33,3,3,4,3,0,0,0,1
7,2,164.0,10,7,4,3,0,0,0,1
15,0,111.8,2,12,3,2,1,1,0,1
42,1,182.34,9,4,4,3,2,0,5,0
202,0,128.7,10,22,4,1,2,0,3,0
174,1,85.5,6,29,4,3,0,3,0,1
38,0,133.8,3,24,4,3,0,0,0,0
276,0,95.0,9,22,3,3,0,0,0,0
69,0,83.0,9,22,3,2,0,1,0,1
3,0,65.0,5,30,2,2,1,0,0,1
121,0,105.3,7,23,4,1,1,0,0,1
70,1,64.67,4,3,4,4,2,0,0,1
30,0,81.9,2,13,4,1,0,0,0,0
27,0,80.75,6,20,3,3,1,0,0,1
120,1,72.25,12,29,4,2,0,0,0,1
45,2,78.54,10,16,4,2,2,0,3,1
50,2,123.3,3,30,4,2,0,0,3,1
188,0,130.0,6,15,3,2,0,0,0,0
230,1,98.6,10,30,4,3,2,0,3,0
276,0,95.67,9,22,3,3,0,0,0,1
5,1,125.33,12,10,4,1,2,0,3,1
6,0,0.0,12,10,4,2,0,1,0,1
12,0,95.0,4,19,4,1,0,0,0,1
116,0,81.67,2,28,3,1,2,0,0,1
193,0,65.0,10,15,3,3,0,0,0,0
13,0,114.55,2,29,4,3,1,1,0,1
163,0,100.8,10,5,3,3,0,0,0,0
162,0,115.0,10,14,3,2,2,0,0,0
52,0,94.5,7,18,4,2,1,3,0,0
3,0,77.6,5,9,3,0,1,0,0,1
105,2,168.3,9,16,4,2,0,0,3,1
0,0,138.0,8,13,4,1,0,0,0,1
28,1,99.0,11,19,3,2,0,1,0,1
15,0,70.0,12,27,3,5,1,0,0,1
94,1,65.84,11,13,4,4,2,0,0,1
28,1,136.0,10,27,4,2,0,0,3,1
11,1,72.07,2,14,4,2,2,0,0,1
61,0,91.0,10,4,3,0,2,0,0,1
61,0,117.0,3,23,4,2,0,0,0,0
7,0,65.0,3,2,3,2,0,0,0,1
14,0,79.0,11,29,2,1,0,0,0,1
33,0,108.9,5,25,4,1,0,0,0,1
161,1,97.75,8,9,4,6,2,3,0,0
34,0,94.3,10,15,4,3,2,3,1,1
21,1,85.0,10,7,3,1,0,0,0,1
1,0,60.0,2,28,3,1,2,0,0,0
11,2,124.0,9,4,4,2,0,0,0,1
117,1,90.4,12,20,4,7,2,0,0,1
33,1,117.3,3,5,4,1,0,0,3,1
71,1,126.0,5,10,3,3,0,1,0,1
49,0,159.3,7,20,4,2,0,0,3,0
4,0,121.6,8,20,4,1,0,0,0,0
77,1,99.0,1,18,4,2,1,0,0,1
145,0,80.75,5,18,3,4,0,0,0,1
0,1,135.0,7,5,4,1,0,0,0,1
41,1,98.55,3,28,3,4,1,0,0,1
35,3,103.05,10,8,4,2,0,0,0,1
157,1,78.45,7,27,4,5,2,0,0,1
6,1,139.0,6,30,4,1,0,3,0,0
173,2,100.8,3,31,4,3,0,0,0,0
256,1,115.0,6,15,3,2,0,1,0,0
39,0,75.0,11,1,3,4,0,0,0,1
30,0,121.0,9,30,3,2,0,1,0,1
43,1,88.2,3,20,4,1,2,3,0,1
17,1,119.71,10,3,4,5,2,0,3,1
75,1,87.55,4,4,4,4,1,0,0,1
1,1,80.0,1,27,4,1,0,0,0,1
25,1,64.67,12,2,4,2,2,0,0,1
103,0,115.0,4,19,4,2,0,0,0,0
30,1,83.16,10,25,4,3,2,0,0,1
78,0,107.1,7,4,4,2,1,3,0,0
146,1,123.3,8,11,4,2,0,0,0,1
31,0,71.0,2,4,2,2,0,0,0,1
43,1,85.07,11,1,4,3,0,3,0,1
83,1,105.3,3,25,4,2,1,0,3,1
0,0,105.0,11,25,3,2,2,1,0,0
34,0,65.0,7,19,2,1,0,0,0,0
88,0,80.75,6,8,3,4,1,0,0,0
0,2,0.0,8,13,4,0,0,0,0,1
116,0,89.25,5,15,4,3,2,3,0,0
117,0,94.5,8,1,3,1,2,1,0,0
32,1,144.0,10,28,4,2,0,0,3,0
127,0,80.0,4,28,3,3,1,0,0,1
50,0,63.75,3,5,4,5,2,3,0,0
56,0,111.6,4,25,3,3,1,0,0,1
156,1,99.88,6,8,4,4,0,3,0,0
66,0,75.0,10,9,3,2,1,0,0,1
54,1,126.9,5,31,4,2,0,0,0,1
70,0,100.0,6,3,3,2,0,0,0,1
130,2,67.5,3,25,3,2,1,0,0,1
7,0,133.0,3,2,4,3,0,0,3,0
3,0,124.0,9,8,4,4,0,0,0,1
3,1,65.0,11,13,2,1,2,0,0,1
2,0,90.95,6,13,3,5,1,0,3,1
4,0,79.0,11,29,2,1,0,0,0,1
81,2,125.1,8,16,4,1,0,3,0,1
123,2,116.59,6,16,4,4,2,0,0,1
68,1,67.5,3,11,4,2,0,3,0,1
1,1,159.0,9,15,4,1,0,3,0,1
144,0,80.1,10,28,4,2,1,3,0,0
8,1,77.35,12,26,4,3,2,3,0,1
144,2,114.3,7,30,4,1,1,0,0,1
381,1,78.55,12,23,4,2,1,0,1,0
100,0,65.96,4,18,3,3,1,0,0,1
56,2,177.3,7,19,4,2,0,0,5,1
11,1,73.95,11,2,4,4,1,0,0,1
280,0,110.0,9,19,3,2,1,0,0,0
217,2,90.1,5,25,4,4,0,0,0,0
144,0,140.7,8,17,4,4,2,0,3,0
135,0,132.3,10,1,4,1,2,0,3,0
132,2,162.0,9,22,4,3,0,0,3,1
34,0,69.82,2,19,4,9,4,3,0,0
31,0,84.9,3,5,4,1,2,0,0,0
102,0,109.0,10,16,3,2,0,1,0,1
101,1,96.3,4,9,4,1,1,0,0,0
75,1,130.5,6,16,4,3,0,0,0,1
48,1,60.0,1,17,3,3,2,0,0,1
110,0,168.3,9,23,4,2,0,0,3,0
301,0,52.0,11,18,4,2,0,0,0,0
82,0,76.5,7,16,4,5,2,0,0,0
54,1,104.4,3,31,4,3,0,0,3,1
111,1,109.65,6,13,4,5,2,3,0,0
320,1,115.0,8,18,3,2,0,1,0,0
36,0,168.73,12,28,4,4,0,0,0,1
16,0,80.0,1,27,2,1,0,0,0,1
62,0,106.2,10,31,4,4,1,0,3,0
32,1,136.0,10,24,4,1,1,0,3,1
186,1,90.95,7,19,4,5,0,0,0,0
100,2,136.0,5,19,4,3,1,0,0,1
56,0,82.0,9,17,3,2,0,1,0,1
48,2,93.5,3,20,4,2,2,0,0,1
13,2,265.44,7,13,4,7,2,0,6,1
19,2,162.29,9,6,4,5,2,1,0,1
56,2,162.0,8,26,4,2,2,0,3,1
138,1,139.5,8,9,4,2,0,0,0,1
35,1,144.9,8,1,4,0,1,0,0,1
72,0,84.0,9,18,3,1,0,1,0,1
66,0,89.1,4,2,4,1,2,0,0,0
29,0,95.04,10,17,4,2,2,0,0,1
40,0,74.8,12,1,4,3,1,3,0,0
23,0,136.0,3,26,4,2,2,0,0,0
110,1,108.0,10,12,4,1,0,3,0,0
151,0,72.25,8,5,3,2,1,0,0,1
1,0,75.0,3,7,2,3,1,0,3,0
77,0,99.96,10,10,3,3,1,0,3,1
303,1,73.95,12,6,4,4,0,0,0,0
67,0,75.0,12,2,3,2,2,0,0,1
58,0,63.0,3,17,3,3,0,0,0,1
